2023.04.01 03:21:43 [70cc,5568] | MONERA ZVT Terminal Library LAN 02.00 
2023.04.01 03:21:43 [70cc,5568] | OpenSSL 1.1.1l  24 Aug 2021 
2023.04.01 03:21:43 [70cc,5568] | MONERA ZVT Terminal Library LAN 02.00 
2023.04.01 03:21:43 [70cc,5568] | OpenSSL 1.1.1l  24 Aug 2021 
2023.04.22 00:04:17 [87bc,7e20] | MONERA ZVT Terminal Library LAN 02.00 
2023.04.22 00:04:17 [87bc,7e20] | OpenSSL 1.1.1l  24 Aug 2021 
2023.04.22 00:04:17 [87bc,7e20] | protocol ctor 
2023.04.22 00:04:17 [87bc,7e20] | disconnect 
2023.04.22 00:04:17 [87bc,7e20] | is stopped 
2023.04.22 00:04:17 [87bc,7e20] | SSL connect: 192.168.2.12:4050 
2023.04.22 00:11:27 [1248,8cc8] | MONERA ZVT Terminal Library LAN 02.00 
2023.04.22 00:11:27 [1248,8cc8] | OpenSSL 1.1.1l  24 Aug 2021 
2023.04.22 00:11:27 [1248,8cc8] | protocol ctor 
2023.04.22 00:11:27 [1248,8cc8] | disconnect 
2023.04.22 00:11:27 [1248,8cc8] | is stopped 
2023.04.22 00:11:27 [1248,8cc8] | SSL connect: 192.168.2.12:4050 
2023.04.22 00:16:47 [9618,5744] | MONERA ZVT Terminal Library LAN 02.00 
2023.04.22 00:16:47 [9618,5744] | OpenSSL 1.1.1l  24 Aug 2021 
2023.04.22 00:16:47 [9618,5744] | protocol ctor 
2023.04.22 00:16:47 [9618,5744] | disconnect 
2023.04.22 00:16:47 [9618,5744] | is stopped 
2023.04.22 00:16:47 [9618,5744] | SSL connect: 192.168.2.12:4050 
2023.04.22 00:16:48 [9618,5744] | start thread 
2023.04.22 00:16:48 [9618,5744] | payment 1100 
2023.04.22 00:16:48 [9618,5744] | displayevent 0 
2023.04.22 00:16:48 [9618,5744] | displayevent 1 
2023.04.22 00:17:13 [9618,5744] | displayevent 0 
2023.04.22 00:17:18 [9618,5744] | printer event 
2023.04.22 00:23:28 [7a9c,9a3c] | MONERA ZVT Terminal Library LAN 02.00 
2023.04.22 00:23:28 [7a9c,9a3c] | OpenSSL 1.1.1l  24 Aug 2021 
2023.04.22 00:23:28 [7a9c,9a3c] | protocol ctor 
2023.04.22 00:24:14 [7a9c,9a3c] | disconnect 
2023.04.22 00:24:14 [7a9c,9a3c] | is stopped 
2023.04.22 00:24:16 [7a9c,9a3c] | SSL connect: 192.168.2.12:4050 
2023.04.22 00:24:16 [7a9c,9a3c] | start thread 
2023.04.22 00:24:20 [7a9c,9a3c] | payment 1100 
2023.04.22 00:24:21 [7a9c,9a3c] | displayevent 0 
2023.04.22 00:24:21 [7a9c,9a3c] | displayevent 1 
2023.04.22 00:24:35 [7a9c,9a3c] | displayevent 0 
2023.04.22 00:24:40 [7a9c,9a3c] | printer event 
2023.04.28 16:09:55 [b784,a270] | MONERA ZVT Terminal Library LAN 02.00 
2023.04.28 16:09:55 [b784,a270] | OpenSSL 1.1.1l  24 Aug 2021 
2023.04.28 16:09:55 [b784,a270] | protocol ctor 
2023.04.28 16:09:55 [b784,a270] | disconnect 
2023.04.28 16:09:55 [b784,a270] | is stopped 
2023.04.28 16:09:55 [b784,a270] | SSL connect: 192.168.2.12:4050 
2023.04.28 16:09:56 [b784,a270] | start thread 
2023.04.28 16:09:56 [b784,a270] | cancellation 
2023.04.28 16:09:56 [b784,a270] | displayevent 0 
2023.04.28 16:10:01 [b784,a270] | disconnect 
2023.04.28 16:10:01 [b784,175c] | thread exit 
2023.04.28 16:10:01 [b784,a270] | portclose 
2023.04.28 20:17:14 [b100,c8f0] | MONERA ZVT Terminal Library LAN 02.00 
2023.04.28 20:17:14 [b100,c8f0] | OpenSSL 1.1.1l  24 Aug 2021 
2023.04.28 20:17:14 [b100,c8f0] | protocol ctor 
2023.04.28 20:17:14 [b100,c8f0] | disconnect 
2023.04.28 20:17:14 [b100,c8f0] | is stopped 
2023.04.28 20:17:14 [b100,c8f0] | SSL connect: 192.168.2.12:4050 
2023.04.28 20:17:15 [b100,c8f0] | start thread 
2023.04.28 20:17:15 [b100,c8f0] | payment 1100 
2023.04.28 20:17:15 [b100,c8f0] | displayevent 0 
2023.04.28 20:17:15 [b100,c8f0] | displayevent 1 
2023.04.28 20:17:29 [b100,c8f0] | disconnect 
2023.04.28 20:17:29 [b100,cf08] | thread exit 
2023.04.28 20:17:29 [b100,c8f0] | portclose 
2023.04.28 22:47:27 [bffc,8d74] | MONERA ZVT Terminal Library LAN 02.00 
2023.04.28 22:47:27 [bffc,8d74] | OpenSSL 1.1.1l  24 Aug 2021 
2023.04.28 22:47:27 [bffc,8d74] | protocol ctor 
2023.04.28 22:47:27 [bffc,8d74] | disconnect 
2023.04.28 22:47:27 [bffc,8d74] | is stopped 
2023.04.28 22:47:27 [bffc,8d74] | SSL connect: 192.168.2.12:4050 
2023.04.28 22:47:28 [bffc,8d74] | start thread 
2023.04.28 22:47:28 [bffc,8d74] | payment 1100 
2023.04.28 22:47:28 [bffc,8d74] | displayevent 0 
2023.04.28 22:47:29 [bffc,8d74] | displayevent 1 
2023.04.28 22:47:38 [bffc,8d74] | disconnect 
2023.04.28 22:47:38 [bffc,9c78] | thread exit 
2023.04.28 22:47:38 [bffc,8d74] | portclose 
2023.04.28 22:48:41 [bffc,979c] | protocol ctor 
2023.04.28 22:48:41 [bffc,979c] | disconnect 
2023.04.28 22:48:41 [bffc,979c] | is stopped 
2023.04.28 22:48:41 [bffc,979c] | SSL connect: 192.168.2.12:4050 
2023.04.28 22:48:42 [bffc,979c] | start thread 
2023.04.28 22:48:42 [bffc,979c] | payment 900 
2023.04.28 22:48:42 [bffc,979c] | displayevent 0 
2023.04.28 22:48:42 [bffc,979c] | displayevent 1 
2023.04.28 22:48:51 [bffc,979c] | disconnect 
2023.04.28 22:48:51 [bffc,49fc] | thread exit 
2023.04.28 22:48:51 [bffc,979c] | portclose 
2023.04.28 23:01:45 [bffc,40c8] | protocol ctor 
2023.04.28 23:01:45 [bffc,40c8] | disconnect 
2023.04.28 23:01:45 [bffc,40c8] | is stopped 
2023.04.28 23:01:45 [bffc,40c8] | SSL connect: 192.168.2.12:4050 
2023.04.28 23:01:46 [bffc,40c8] | start thread 
2023.04.28 23:01:46 [bffc,40c8] | payment 900 
2023.04.28 23:01:46 [bffc,40c8] | displayevent 0 
2023.04.28 23:01:47 [bffc,40c8] | displayevent 1 
2023.04.28 23:01:59 [bffc,40c8] | displayevent 0 
2023.04.28 23:02:04 [bffc,40c8] | printer event 
2023.04.28 23:02:05 [bffc,40c8] | disconnect 
2023.04.28 23:02:05 [bffc,a258] | thread exit 
2023.04.28 23:02:05 [bffc,40c8] | portclose 
2023.04.28 23:03:07 [bffc,b860] | protocol ctor 
2023.04.28 23:03:07 [bffc,b860] | disconnect 
2023.04.28 23:03:07 [bffc,b860] | is stopped 
2023.04.28 23:03:07 [bffc,b860] | SSL connect: 192.168.2.12:4050 
2023.04.28 23:03:08 [bffc,b860] | start thread 
2023.04.28 23:03:08 [bffc,b860] | cancellation 
2023.04.28 23:03:08 [bffc,b860] | displayevent 0 
2023.04.28 23:03:11 [bffc,b860] | disconnect 
2023.04.28 23:03:11 [bffc,c020] | thread exit 
2023.04.28 23:03:11 [bffc,b860] | portclose 
2023.04.28 23:03:16 [bffc,a7b0] | protocol ctor 
2023.04.28 23:03:16 [bffc,a7b0] | disconnect 
2023.04.28 23:03:16 [bffc,a7b0] | is stopped 
2023.04.28 23:03:16 [bffc,a7b0] | SSL connect: 192.168.2.12:4050 
2023.04.28 23:03:16 [bffc,a7b0] | start thread 
2023.04.28 23:03:16 [bffc,a7b0] | cancellation 
2023.04.28 23:03:17 [bffc,a7b0] | displayevent 0 
2023.04.28 23:03:22 [bffc,a7b0] | disconnect 
2023.04.28 23:03:22 [bffc,7d68] | thread exit 
